Episode,Step,Epsilon,Mean Reward,Mean Length,Mean Loss,Mean Q Value,Time Delta,Time
0,337783,0.9996,3.000,81.000,0.005,1.305,0.496,2021-05-03T19:52:25
20,338930,0.9939,2.000,58.476,0.006,1.320,7.233,2021-05-03T19:52:33
40,340041,0.9884,1.878,57.049,0.006,1.318,7.021,2021-05-03T19:52:40
60,341300,0.9822,2.049,58.984,0.006,1.306,7.963,2021-05-03T19:52:48
80,342533,0.9761,2.037,59.642,0.005,1.297,7.706,2021-05-03T19:52:55
100,343718,0.9704,2.040,59.350,0.005,1.286,7.535,2021-05-03T19:53:03
120,344854,0.9649,2.050,59.240,0.005,1.268,7.369,2021-05-03T19:53:10
140,345898,0.9598,2.010,58.570,0.004,1.251,6.659,2021-05-03T19:53:17
160,347144,0.9539,2.060,58.440,0.004,1.243,7.832,2021-05-03T19:53:25
180,348369,0.9481,2.170,58.360,0.004,1.234,7.805,2021-05-03T19:53:33
200,349514,0.9427,2.140,57.960,0.004,1.230,7.219,2021-05-03T19:53:40
220,350851,0.9364,2.290,59.970,0.004,1.224,8.336,2021-05-03T19:53:48
240,352021,0.9309,2.410,61.230,0.004,1.216,7.422,2021-05-03T19:53:56
260,353121,0.9258,2.260,59.770,0.004,1.206,7.074,2021-05-03T19:54:03
280,354431,0.9198,2.360,60.620,0.004,1.195,8.273,2021-05-03T19:54:11
300,355692,0.9140,2.440,61.780,0.004,1.183,8.018,2021-05-03T19:54:19
320,357038,0.9078,2.450,61.870,0.004,1.174,8.647,2021-05-03T19:54:28
340,358183,0.9027,2.450,61.620,0.004,1.166,7.507,2021-05-03T19:54:35
360,359404,0.8972,2.600,62.830,0.004,1.155,7.801,2021-05-03T19:54:43
380,360680,0.8915,2.570,62.490,0.004,1.151,8.112,2021-05-03T19:54:51
400,362009,0.8856,2.710,63.170,0.004,1.141,8.352,2021-05-03T19:54:59
420,363407,0.8794,2.820,63.690,0.003,1.134,8.745,2021-05-03T19:55:08
440,364642,0.8740,2.920,64.590,0.003,1.124,7.843,2021-05-03T19:55:16
460,365887,0.8686,2.900,64.830,0.003,1.114,7.885,2021-05-03T19:55:24
480,367250,0.8627,2.930,65.700,0.003,1.100,8.549,2021-05-03T19:55:32
500,368492,0.8573,2.900,64.830,0.003,1.090,7.857,2021-05-03T19:55:40
520,369799,0.8517,2.870,63.920,0.003,1.076,8.480,2021-05-03T19:55:49
540,371125,0.8461,2.940,64.830,0.003,1.065,8.639,2021-05-03T19:55:57
560,372340,0.8410,2.950,64.530,0.003,1.056,7.817,2021-05-03T19:56:05
580,373566,0.8358,2.850,63.160,0.003,1.047,7.860,2021-05-03T19:56:13
600,374915,0.8302,2.920,64.230,0.003,1.036,8.606,2021-05-03T19:56:22
620,376215,0.8248,2.850,64.160,0.003,1.026,8.271,2021-05-03T19:56:30
640,377563,0.8193,2.960,64.380,0.003,1.014,8.520,2021-05-03T19:56:38
660,378726,0.8145,2.950,63.860,0.003,1.003,7.389,2021-05-03T19:56:46
680,379976,0.8095,2.990,64.100,0.003,0.992,7.965,2021-05-03T19:56:54
700,381288,0.8042,2.980,63.730,0.003,0.981,8.485,2021-05-03T19:57:02
720,382589,0.7990,3.000,63.740,0.003,0.969,8.329,2021-05-03T19:57:11
740,383769,0.7943,2.810,62.060,0.002,0.959,7.911,2021-05-03T19:57:18
760,385034,0.7893,2.980,63.080,0.002,0.945,8.092,2021-05-03T19:57:27
780,386301,0.7843,3.020,63.250,0.002,0.932,8.134,2021-05-03T19:57:35
800,387686,0.7789,3.130,63.980,0.002,0.919,8.823,2021-05-03T19:57:44
820,389024,0.7737,3.200,64.350,0.002,0.905,8.544,2021-05-03T19:57:52
840,390333,0.7686,3.320,65.640,0.002,0.891,8.429,2021-05-03T19:58:01
860,391651,0.7636,3.340,66.170,0.002,0.879,8.292,2021-05-03T19:58:09
880,393088,0.7581,3.580,67.870,0.002,0.868,9.121,2021-05-03T19:58:18
900,394522,0.7527,3.600,68.360,0.002,0.855,9.142,2021-05-03T19:58:27
920,395877,0.7476,3.710,68.530,0.002,0.844,8.667,2021-05-03T19:58:36
940,397119,0.7430,3.700,67.860,0.002,0.835,8.218,2021-05-03T19:58:44
